,Date,SP week %change,SP5 MACD,USDX %change,USTB %change,sp volatility,DJI MACD,Bull-Bear Spread,cat bull-bear,IXIC MACD
0,2000-01-06,-0.018907605921388446,6.077604791000001,-0.011720673692504655,-0.011286336096589846,0.06959562113675619,66.4961193,0.6167,1,130.1996027
1,2000-01-13,0.016427674526698483,7.4716513529999995,0.0032888180187362797,-0.0013826515939207573,0.031341500870218114,115.38962179999999,0.4074,1,96.76228184
2,2000-01-20,-0.01623724533324246,8.988639662999999,0.004768054037945803,-0.009691961763826275,0.01885025253926852,98.55992258,0.3928,1,122.6568775
3,2000-01-27,-0.056335682966087465,-3.515230919,0.01858625803262477,0.028320246963290854,0.07196947417950819,-36.07263971,0.3333,1,101.39656120000001
4,2000-02-03,0.047207681449241125,-6.660633935,0.006502960302824437,0.027192238247514634,0.06021609553697423,-87.79895629,0.2667,1,70.13828872
5,2000-02-10,-0.026151912775472668,-2.327092081,0.0033751205400192317,-0.017217645439335613,0.04733548647557519,-133.2547642,0.1395,1,129.83544550000002
6,2000-02-17,-0.029579272161024264,-8.428536992,0.0016338298894762297,0.014480886092315584,0.0463564843361143,-181.77314219999997,0.0303,0,141.3503106
7,2000-02-24,-0.009457019961518189,-17.06555055,-0.002206870082517789,0.014274183270317282,0.030719385612287615,-249.52909900000003,0.1035,1,138.1944635
8,2000-03-02,0.05685636287274268,-14.12888636,0.01615539955764984,-0.0032670157068064067,0.06089400143346805,-258.78103619999996,0.1334,1,162.32990990000002
9,2000-03-08,-0.010005889991981192,-9.537590567999999,0.00255512444402381,-0.002962558305668596,0.04791157432960364,-249.56992259999998,0.4166,1,187.0471637
10,2000-03-16,0.04974660769710487,2.342796142,-0.010760808004530872,0.012517649042210062,0.08217307285229462,-146.13834419999998,0.2333,1,125.12063629999999
11,2000-03-23,0.043012147739455234,27.75908298,9.541984732829309e-05,0.010073469727558617,0.069926544721302,90.82472013,0.4571,1,97.07157349
12,2000-03-30,-0.018907205426001408,32.63540809,0.003721018986737912,0.0012981393336215649,0.040037902547745204,172.42318649999999,-0.1111,0,42.82833701
13,2000-04-06,0.011857892137890525,25.70460165,-9.505703422058095e-05,0.013818578425320183,0.07256899792264317,188.9404279,0.25,1,-96.55017284
14,2000-04-13,-0.10537804596564115,13.53412921,0.006939823177108128,-0.002851894327673584,0.13843103143244676,159.6059174,0.2222,1,-202.36015480000003
15,2000-04-20,0.05748363507695938,-6.251470114,0.012745468277945565,-0.0019134860050889382,0.070538291020118,21.60125813,0.4118,1,-271.7354297
16,2000-04-27,0.012470896594030213,-1.42995229,0.02013610515521591,-0.018478105688238173,0.05219528651983224,42.61488649,0.4677,1,-242.38573530000002
17,2000-05-04,-0.01363232651487504,-6.63171775,0.020743854518870473,-0.025329870129870008,0.05804010805302143,-49.90556314,0.0,0,-163.193713
18,2000-05-11,-0.008145857618505874,-13.13690975,-0.0026857654431512727,0.004668912292670321,0.04045856322486207,-87.78308414,0.0465,0,-169.8374784
19,2000-05-18,-0.009859531584281043,-3.418017303,0.006193895870736065,-0.012604774535808893,0.04880059703614206,-14.39531773,-0.0589,0,-127.6677705
20,2000-05-25,-0.02056220903372548,-13.74906044,-0.013025247568917904,0.01880466785583804,0.03669032379791307,-72.62528736,-0.0159,0,-179.3685377
21,2000-06-01,0.07201637131536553,-6.954125266,-0.01491458013197136,0.01780365354596452,0.07121969050810287,-61.99026343,0.0417,0,-126.16872930000001
22,2000-06-08,-0.01374842614028671,7.563304836,-0.020645990089924755,0.010362694300518135,0.015470675040323938,7.577007815,0.3846,1,9.415121893
23,2000-06-15,0.005154603795600392,11.01306902,0.0009369436896841967,-0.002882051282051343,0.02816055064665459,3.4886348089999997,0.25,1,51.0081717
24,2000-06-22,-0.015691790830749914,10.53672628,0.005335579893288471,-0.007076805974140736,0.035116685628659515,-48.93526053,-0.1333,0,92.57782801
25,2000-07-06,0.0091017565280128,2.5246353630000002,-0.002420856610800792,0.006806103738695157,0.022686649250653102,-39.84418164,0.4025,1,60.99460064
26,2000-07-13,0.01670562353911741,9.563247182000001,0.01054694791861112,0.012861670165040954,0.030130502400432715,32.65357741,0.45,1,80.90247590000001
27,2000-07-20,0.021015619717357444,11.94359997,0.0006465318186017123,0.0003149190353319441,0.02616590948224479,58.88099266,0.5467,1,97.58587248
28,2000-07-27,-0.019728738128981817,1.615805919,0.0028613623776998546,0.004762920309945202,0.0266249603091494,16.44601529,0.2286,1,31.68394158
29,2000-08-03,-0.04073801336314929,-6.891427224,0.019788311090657998,0.004416907558268935,0.05070111064941651,4.246635375,0.1739,1,-55.97462503
30,2000-08-10,0.030312207283662792,-0.400294149,-0.0005415162454873851,0.00691320754716993,0.030227010178204033,66.61865067,0.4262,1,-45.46252379999999
31,2000-08-17,0.006090516976205187,5.525122596,-0.006592017337908523,-0.002808258879494772,0.02532204587455157,113.08487509999999,0.4063,1,-19.82375836
32,2000-08-23,0.013506902924230969,9.420905577000001,0.011998909190073567,0.005953037151361422,0.020721046845252514,121.31099840000002,0.3461,1,11.900721699999998
33,2000-08-31,0.009874507280186642,12.00324155,0.011138058025689346,0.0,0.015898303959640245,120.02941000000001,0.3823,1,62.44191714
34,2000-09-07,0.00950579176208964,9.152068816,0.009860531225015668,-0.005290161892901678,0.01972684889891305,119.5483202,0.5417,1,61.64044749
35,2000-09-14,-0.01727414401914818,1.6635083169999998,0.013194933145672062,-0.007511718280517608,0.02066912010705913,73.67762006,0.1765,1,-0.374300708
