Date,Open,High,Low,Close,Adj Close,Volume,IXIC 12 day SMA,IXIC 26 day SMA,IXIC 12 day EMA,IXIC 26 day EMA,IXIC MACD
7/23/99,2700.860107,2708.870117,2668.429932,2692.399902,2692.399902,922040000,#N/A,#N/A,#N/A,#N/A,#N/A
7/26/99,2656.300049,2666.659912,2619.080078,2619.189941,2619.189941,843850000,#N/A,#N/A,#N/A,#N/A,#N/A
7/27/99,2658.26001,2685.040039,2650.179932,2679.330078,2679.330078,997520000,#N/A,#N/A,#N/A,#N/A,#N/A
7/28/99,2684.040039,2709.76001,2660.620117,2705.840088,2705.840088,964880000,#N/A,#N/A,#N/A,#N/A,#N/A
7/29/99,2663.959961,2705.840088,2627.800049,2640.01001,2640.01001,917000000,#N/A,#N/A,#N/A,#N/A,#N/A
7/30/99,2657.830078,2676.449951,2631.870117,2638.48999,2638.48999,877260000,#N/A,#N/A,#N/A,#N/A,#N/A
8/2/99,2638.310059,2670.810059,2617.219971,2623.629883,2623.629883,754220000,#N/A,#N/A,#N/A,#N/A,#N/A
8/3/99,2647.810059,2649.209961,2564.25,2587.98999,2587.98999,1013500000,#N/A,#N/A,#N/A,#N/A,#N/A
8/4/99,2590.199951,2604.110107,2538.879883,2540,2540,964170000,#N/A,#N/A,#N/A,#N/A,#N/A
8/5/99,2539.23999,2565.830078,2474.409912,2565.830078,2565.830078,1167110000,#N/A,#N/A,#N/A,#N/A,#N/A
8/6/99,2552.030029,2592.330078,2535.629883,2547.969971,2547.969971,813730000,#N/A,#N/A,#N/A,#N/A,#N/A
8/9/99,2562.050049,2563.719971,2517.459961,2518.97998,2518.97998,748210000,2613.304993,#N/A,2613.304993,#N/A,#N/A
8/10/99,2513.139893,2521.649902,2442.219971,2490.110107,2490.110107,978230000,2596.44751,#N/A,2594.351933,#N/A,#N/A
8/11/99,2532.540039,2565.149902,2490.110107,2564.97998,2564.97998,911460000,2591.930013,#N/A,2589.833171,#N/A,#N/A
8/12/99,2567.209961,2586.100098,2548.51001,2549.48999,2549.48999,916770000,2581.110006,#N/A,2583.626528,#N/A,#N/A
8/13/99,2590.169922,2637.820068,2590.169922,2637.810059,2637.810059,934220000,2575.440837,#N/A,2591.962456,#N/A,#N/A
8/16/99,2644.669922,2661.149902,2623.050049,2645.280029,2645.280029,781570000,2575.880005,#N/A,2600.165159,#N/A,#N/A
8/17/99,2674.469971,2680,2631.340088,2671.22998,2671.22998,898390000,2578.608337,#N/A,2611.098209,#N/A,#N/A
8/18/99,2671.129883,2683.149902,2657.389893,2657.72998,2657.72998,1045290000,2581.450012,#N/A,2618.272327,#N/A,#N/A
8/19/99,2637.73999,2657.73999,2612.280029,2621.429932,2621.429932,868280000,2584.236674,#N/A,2618.758113,#N/A,#N/A
8/20/99,2635.050049,2648.409912,2620.209961,2648.330078,2648.330078,795140000,2593.26418,#N/A,2623.307646,#N/A,#N/A
8/23/99,2670.699951,2719.909912,2648.330078,2719.570068,2719.570068,915630000,2606.075846,#N/A,2638.117249,#N/A,#N/A
8/24/99,2708.800049,2777,2708.060059,2752.370117,2752.370117,1032160000,2623.109192,#N/A,2655.694614,#N/A,#N/A
8/25/99,2772.820068,2810.100098,2750.719971,2805.600098,2805.600098,1035950000,2646.994202,#N/A,2678.756996,#N/A,#N/A
8/26/99,2808.419922,2819.899902,2774.110107,2774.620117,2774.620117,1100060000,2670.703369,#N/A,2693.505168,#N/A,#N/A
8/27/99,2792.469971,2795.179932,2752.47998,2758.899902,2758.899902,806090000,2686.863363,2640.65809,2703.565897,2640.65809,62.9078062
8/30/99,2763.830078,2769.070068,2703.100098,2712.689941,2712.689941,795940000,2700.463358,2641.438476,2704.969596,2645.993783,58.97581271
8/31/99,2717.26001,2739.899902,2671.669922,2739.350098,2739.350098,970590000,2708.925028,2646.060021,2710.258904,2652.909066,57.34983816
9/1/99,2752.330078,2768.550049,2739.110107,2750.800049,2750.800049,919330000,2717.718363,2648.808866,2716.496003,2660.16025,56.33575348
9/2/99,2716.149902,2750.820068,2698.179932,2734.23999,2734.23999,836160000,2722.969198,2649.90117,2719.225847,2665.647638,53.57820945
9/3/99,2793.659912,2843.110107,2734.23999,2843.110107,2843.110107,910410000,2738.417541,2657.712712,2738.284964,2678.793006,59.49195826
9/7/99,2840.120117,2860.159912,2833.02002,2837.26001,2837.26001,911230000,2756.403381,2665.357713,2753.511894,2690.531302,62.98059179
9/8/99,2824.02002,2851.120117,2806.600098,2808.73999,2808.73999,1005950000,2769.770874,2672.477332,2762.008524,2699.287501,62.72102284
9/9/99,2826.600098,2852.040039,2807.949951,2852.02002,2852.02002,1029970000,2780.80837,2682.632334,2775.856447,2710.601021,65.25542536
9/10/99,2880.72998,2897.530029,2855.280029,2887.060059,2887.060059,1129430000,2792.032532,2695.980797,2792.964695,2723.672061,69.29263358
9/13/99,2879.780029,2883.360107,2844.76001,2844.77002,2844.77002,984440000,2795.296692,2706.709257,2800.934745,2732.64228,68.29246444
9/14/99,2843.530029,2870.26001,2837.929932,2868.290039,2868.290039,1013000000,2803.102519,2719.029259,2811.297098,2742.690262,68.60683527
9/15/99,2887.22998,2888.899902,2813.25,2814.169922,2814.169922,1059050000,2807.708354,2730.382719,2811.739071,2747.985052,63.75401864
9/16/99,2820.840088,2820.840088,2756.030029,2806.719971,2806.719971,960310000,2815.54419,2742.560021,2810.966902,2752.335787,58.63111472
9/17/99,2825.860107,2869.649902,2824.189941,2869.620117,2869.620117,1005060000,2826.400025,2754.276949,2819.990473,2761.023515,58.96695817
9/20/99,2877.530029,2890.719971,2858.790039,2886.149902,2886.149902,803340000,2837.679179,2767.225408,2830.168847,2770.292136,59.87671058
9/21/99,2863.560059,2863.560059,2819.689941,2821.100098,2821.100098,1035910000,2844.917521,2774.275024,2828.773655,2774.055689,54.71796573
9/22/99,2832.100098,2858.189941,2802.179932,2858.159912,2858.159912,1029880000,2846.171672,2782.462712,2833.294617,2780.285631,53.00898594
