Date,SP5 High,SP5 Low,SP5 Close,SP5 12 day SMA,SP5 26 day SMA,SP5 12 day EMA,SP5 26 day EMA,SP5 MACD
1/5/87,252.570007,246.449997,252.190002,#N/A,#N/A,#N/A,#N/A,#N/A
1/6/87,253.990005,252.139999,252.779999,#N/A,#N/A,#N/A,#N/A,#N/A
1/7/87,255.720001,252.649994,255.330002,#N/A,#N/A,#N/A,#N/A,#N/A
1/8/87,257.279999,254.970001,257.279999,#N/A,#N/A,#N/A,#N/A,#N/A
1/9/87,259.200012,256.109985,258.730011,#N/A,#N/A,#N/A,#N/A,#N/A
1/12/87,261.359985,257.920013,260.299988,#N/A,#N/A,#N/A,#N/A,#N/A
1/13/87,260.450012,259.209991,259.950012,#N/A,#N/A,#N/A,#N/A,#N/A
1/14/87,262.720001,259.619995,262.640015,#N/A,#N/A,#N/A,#N/A,#N/A
1/15/87,266.679993,262.640015,265.48999,#N/A,#N/A,#N/A,#N/A,#N/A
1/16/87,267.23999,264.309998,266.279999,#N/A,#N/A,#N/A,#N/A,#N/A
1/19/87,269.339996,264,269.339996,#N/A,#N/A,#N/A,#N/A,#N/A
1/20/87,271.029999,267.649994,269.040009,260.7791685,#N/A,260.7791685,#N/A,#N/A
1/21/87,270.869995,267.350006,267.839996,262.0833347,#N/A,261.8654497,#N/A,#N/A
1/22/87,274.049988,267.320007,273.910004,263.8441684,#N/A,263.718458,#N/A,#N/A
1/23/87,280.959991,268.410004,270.100006,265.0750021,#N/A,264.7002346,#N/A,#N/A
1/26/87,270.399994,267.730011,269.609985,266.1025009,#N/A,265.4555808,#N/A,#N/A
1/27/87,274.309998,269.609985,273.75,267.3541667,#N/A,266.7316453,#N/A,#N/A
1/28/87,275.709991,273.029999,275.399994,268.6125005,#N/A,268.0652374,#N/A,#N/A
1/29/87,276.850006,272.540009,274.23999,269.803332,#N/A,269.0151994,#N/A,#N/A
1/30/87,274.23999,271.380005,274.079987,270.756663,#N/A,269.7943975,#N/A,#N/A
2/2/87,277.350006,273.160004,276.450012,271.6699982,#N/A,270.8183382,#N/A,#N/A
2/3/87,277.829987,275.839996,275.98999,272.4791641,#N/A,271.6139769,#N/A,#N/A
2/4/87,279.649994,275.350006,279.640015,273.337499,#N/A,272.848752,#N/A,#N/A
2/5/87,282.26001,278.660004,281.160004,274.3474986,#N/A,274.1274062,#N/A,#N/A
2/6/87,281.790009,279.869995,280.040009,275.3641663,#N/A,275.0370374,#N/A,#N/A
2/9/87,280.040009,277.23999,278.160004,275.718333,268.4507699,275.5174938,268.4507699,7.066723841
2/10/87,278.160004,273.48999,275.070007,276.1324998,269.3307701,275.4486496,268.9410838,6.507565866
2/11/87,277.709991,274.709991,277.540009,276.7933351,270.2830782,275.7703972,269.5780412,6.192356035
2/12/87,278.040009,273.890015,275.619995,276.949168,271.0634625,275.7472584,270.0255933,5.721665096
2/13/87,280.910004,275.01001,279.700012,277.3075028,271.9257707,276.3553744,270.7422169,5.613157425
2/17/87,285.48999,279.700012,285.48999,278.2450028,272.9550007,277.7606998,271.8346446,5.926055273
2/18/87,287.549988,282.970001,285.420013,279.190005,273.9211555,278.9390557,272.8409682,6.098087555
2/19/87,286.23999,283.839996,285.570007,279.9500046,274.9065399,279.9592021,273.7838599,6.175342141
2/20/87,285.980011,284.309998,285.480011,280.7408397,275.7850013,280.8085573,274.6502415,6.1583158
