Date,Open,High,Low,Close,Adj Close,Volume,DJI 12 day SMA,DJI 26 day SMA,DJI 12 day EMA,DJI 26 day EMA,DJI MACD
3/11/99,9769.959961,9935.459961,9769.959961,9897.44043,9897.44043,97870000,9522.165934,9411.904635,9594.332018,9481.911762,112.420256
3/12/99,9897.719727,9958.769531,9861.919922,9876.349609,9876.349609,97760000,9561.889242,9431.502329,9637.719339,9511.12938,126.5899594
3/15/99,9876.080078,9970.150391,9862.480469,9958.769531,9958.769531,78860000,9611.258382,9456.666542,9687.111677,9544.28791,142.8237669
3/16/99,9957.660156,10001.78027,9926.580078,9930.469727,9930.469727,74480000,9663.249186,9480.752291,9724.551377,9572.89397,151.6574064
3/17/99,9931.129883,9960.709961,9859.150391,9879.410156,9879.410156,84570000,9709.468343,9503.379207,9748.375804,9595.598873,152.7769313
3/18/99,9873.900391,10001.50977,9845.830078,9997.620117,9997.620117,86480000,9767.80249,9536.632662,9786.721083,9625.378224,161.3428588
3/19/99,10001.23047,10085.30957,9899.94043,9903.549805,9903.549805,117430000,9820.108317,9564.564979,9804.694733,9645.983527,158.711206
3/22/99,9902.280273,9934.629883,9874.969727,9890.509766,9890.509766,61210000,9855.367432,9584.836125,9817.897045,9664.096581,153.8004641
3/23/99,9890.230469,9891.05957,9632.709961,9671.830078,9671.830078,87510000,9850.013265,9600.103065,9795.425204,9664.669433,130.7557713
3/24/99,9671.55957,9703.19043,9625.209961,9666.839844,9666.839844,72990000,9844.949056,9614.32651,9775.642841,9664.830204,110.812637
3/25/99,9664.900391,9841.94043,9664.900391,9836.389648,9836.389648,80470000,9856.83488,9638.977276,9784.988504,9677.538311,107.4501927
3/26/99,9836.389648,9853.320313,9747.30957,9822.240234,9822.240234,66210000,9860.951579,9659.116136,9790.719539,9688.256972,102.4625671
3/29/99,9821.610352,10040.36035,9821.610352,10006.78027,10006.78027,69040000,9870.063232,9684.763447,9823.959652,9711.851291,112.1083614
3/30/99,10003.83984,10003.83984,9874.410156,9913.259766,9913.259766,73970000,9873.139079,9698.631911,9837.698131,9726.770437,110.9276942
3/31/99,9914.370117,10002.33984,9781.450195,9786.160156,9786.160156,111740000,9858.754964,9707.929612,9829.769212,9731.169675,98.59953647
4/1/99,9786.44043,9840,9765.629883,9832.509766,9832.509766,68310000,9850.591634,9724.577299,9830.190836,9738.676349,91.51448681
4/5/99,9836.120117,10023.15039,9836.120117,10007.33008,10007.33008,71120000,9861.251628,9749.230769,9857.443027,9758.576625,98.86640171
4/6/99,10004.83984,10030.37012,9915.759766,9963.490234,9963.490234,74900000,9858.407471,9774.496545,9873.757982,9773.755411,100.0025708
4/7/99,9963.490234,10089.75,9955.160156,10085.30957,10085.30957,95470000,9873.554118,9803.747671,9906.30438,9796.833497,109.4708832
4/8/99,10086.41992,10209.08008,10059.78027,10197.7002,10197.7002,91210000,9899.15332,9838.366511,9951.134505,9826.527326,124.6071791
4/9/99,10197.7002,10212.12988,10094.46973,10173.83984,10173.83984,79950000,9940.987467,9872.903433,9985.396865,9852.254179,133.1426857
4/12/99,10174.11035,10340.62012,10096.69043,10339.50977,10339.50977,84540000,9997.043294,9906.446101,10039.87577,9888.347186,151.5285871
4/13/99,10340.62012,10418.87012,10316.46973,10395.00977,10395.00977,88310000,10043.59497,9931.789551,10094.51177,9925.877747,168.6340245
4/14/99,10394.73047,10526.54004,10367.80957,10411.66016,10411.66016,107230000,10092.7133,9958.099159,10143.30383,9961.861629,181.4422015
4/15/99,10411.66016,10500.74023,10378.62988,10462.71973,10462.71973,137100000,10130.70825,9987.674542,10192.44474,9998.962229,193.4825088
4/16/99,10463.55957,10520.00977,10386.61035,10493.88965,10493.88965,113560000,10179.09408,10015.40723,10238.82088,10035.62352,203.1973585
4/19/99,10493.88965,10765.74023,10404.87012,10440.53027,10440.53027,145000000,10233.62492,10036.2953,10269.85309,10065.61661,204.2364803
4/20/99,10440.53027,10496.37012,10333.15039,10448.54981,10448.54981,113400000,10284.96159,10058.303,10297.34489,10093.98203,203.3628605
4/21/99,10448.95996,10581.41992,10420.76953,10581.41992,10581.41992,95180000,10332.80241,10082.25109,10341.04874,10130.08854,210.9602006
4/22/99,10580.62012,10753.80957,10580.04981,10727.17969,10727.17969,107780000,10396.4432,10112.89378,10400.45351,10174.31752,226.1359875
4/23/99,10726.04004,10754.66992,10646.70996,10689.66992,10689.66992,106990000,10446.80656,10144.05762,10444.94834,10212.49177,232.4565687
4/26/99,10689.66992,10729.19043,10649.86035,10718.58984,10718.58984,86860000,10490.21403,10171.78722,10487.04703,10249.98052,237.0665156
4/27/99,10719.16016,10847.74023,10719.16016,10831.70996,10831.70996,103340000,10545.03654,10207.48569,10540.0721,10293.07159,247.0005116
4/28/99,10831.99023,10935.37012,10811.08984,10845.4502,10845.4502,99540000,10587.19824,10244.21417,10587.05334,10333.98852,253.0648234
4/29/99,10844.78027,10928.20996,10834.86035,10878.37988,10878.37988,104670000,10627.47909,10290.61993,10631.87281,10374.31381,257.5590048
4/30/99,10876.9502,10961.70996,10654.73047,10789.04004,10789.04004,122040000,10658.92741,10333.78148,10656.05238,10405.03427,251.0181167
5/3/99,10789.04004,11014.69043,10756.11035,11014.69043,11014.69043,94430000,10704.92497,10379.10074,10711.22747,10450.19398,261.0334848
5/4/99,11014.69043,11035.30957,10868.36035,10886.11035,10886.11035,105900000,10737.61003,10420.01882,10738.13253,10482.48409,255.6484425
5/5/99,10883.54004,10955.41016,10775.86035,10955.41016,10955.41016,110840000,10780.51668,10456.50458,10771.55986,10517.51565,254.0442091
5/6/99,10949.73047,10980.04004,10852.32031,10946.82031,10946.82031,118310000,10822.03923,10496.25691,10798.523,10549.31599,249.2070108
5/7/99,10947.11035,11033.87988,10933.65039,11031.58984,11031.58984,91890000,10859.55339,10544.15805,10834.37944,10585.03998,249.3394589
5/10/99,11029.13965,11100.59961,10951.98047,11007.25,11007.25,91670000,10882.89258,10589.34037,10860.97491,10616.3148,244.6601135
5/11/99,11001.23047,11102.32031,10970.58984,11026.15039,11026.15039,95280000,10910.93262,10628.52577,10886.38652,10646.67299,239.7135337
5/12/99,11023.61035,11043.61035,10812.80957,11000.37012,11000.37012,93550000,10934.41431,10668.40576,10903.92246,10672.87278,231.049684
5/13/99,10998.42969,11130.66992,10998.42969,11107.19043,11107.19043,86560000,10957.37101,10707.70887,10935.19446,10705.04445,230.1500013
5/14/99,11105.90039,11106.75977,10870.08008,10913.32031,10913.32031,88150000,10963.02686,10735.23272,10931.8292,10720.4723,211.3569072
5/17/99,10910.57031,10910.57031,10745.79981,10853.46973,10853.46973,78880000,10960.95101,10761.37233,10919.7739,10730.32396,189.4499416
5/18/99,10849.79004,10930.75,10740.79981,10836.9502,10836.9502,95790000,10964.94352,10780.50466,10907.03179,10738.2222,168.8095935
5/19/99,10836.66992,10891.80957,10797.12988,10887.38965,10887.38965,83780000,10954.33512,10799.44235,10904.00992,10749.27164,154.7382846
5/20/99,10887.67969,10946.08008,10866.74023,10866.74023,10866.74023,77580000,10952.72095,10816.94543,10898.27612,10757.97302,140.3031089
5/21/99,10867.04004,10888.86035,10787.40039,10829.28027,10829.28027,79810000,10942.21012,10831.04391,10887.66138,10763.25503,124.4063434
5/24/99,10829.87012,10856.41992,10626.65039,10654.66992,10654.66992,92340000,10917.86426,10837.22776,10851.81654,10755.21169,96.60484574
5/25/99,10651.73047,10754.66016,10530.20996,10531.08984,10531.08984,89820000,10876.15592,10840.71082,10802.47397,10738.61007,63.86389577
5/26/99,10530.88965,10721.33008,10518.7002,10702.16016,10702.16016,97200000,10850.73177,10850.46507,10787.04108,10735.91008,51.13099524
5/27/99,10701.28027,10701.28027,10434.25977,10466.92969,10466.92969,98020000,10804.13005,10846.0616,10737.79317,10715.98561,21.80756295
5/28/99,10468.49023,10589.5,10467.24023,10559.74023,10559.74023,72820000,10767.41089,10839.62162,10710.40041,10704.41188,5.988534912
6/1/99,10561.00977,10597.51953,10409.13965,10596.25977,10596.25977,84670000,10724.83333,10836.02892,10692.84031,10696.40061,-3.560296867
6/2/99,10594.88965,10627.59961,10464.54981,10577.88965,10577.88965,79170000,10696.88078,10830.61738,10675.15559,10687.62202,-12.46642466
6/3/99,10577.25977,10667.17969,10577.25977,10663.69043,10663.69043,71280000,10681.06584,10824.15509,10673.39172,10685.84931,-12.45758577
6/4/99,10661.79004,10799.83984,10659.58008,10799.83984,10799.83984,87580000,10677.97331,10822.40084,10692.84528,10694.29305,-1.447772008
6/7/99,10799.2002,10917.29981,10782.74023,10909.37988,10909.37988,84220000,10679.80583,10823.59315,10726.1583,10710.22541,15.93288601
6/8/99,10908.12012,10909.07031,10724.16992,10765.63965,10765.63965,80040000,10671.38078,10822.69313,10732.23235,10714.33017,17.90218183
